strategy,seed,total_steps,service_availability,total_interruption_time,total_recovery_time,total_state_loss,sla_violations,migrations_attempted,migrations_successful,migration_success_rate,total_migration_time,migration_frequency,checkpoints_created,total_checkpoint_cpu,total_checkpoint_storage,replications,total_replication_bw,syncs,total_sync_data,avg_bandwidth,avg_latency,avg_cpu_utilization,avg_memory_utilization,avg_storage_utilization,total_data_transferred,energy_proxy,objective_cost,state_size
local_execution,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,12650.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.12445781249999976,0.0,199.9999999999972,0.39999999999999436,50
local_execution,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,12650.0,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.12445781249999976,0.0,199.9999999999972,0.39999999999999436,50
local_execution,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,12650.0,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.12445781249999976,0.0,199.9999999999972,0.39999999999999436,50
local_execution,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,12650.0,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.12445781249999976,0.0,199.9999999999972,0.39999999999999436,50
local_execution,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,12650.0,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.12445781249999976,0.0,199.9999999999972,0.39999999999999436,50
threshold_based,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,12650.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.12445781249999976,0.0,199.9999999999972,0.39999999999999436,50
threshold_based,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,12650.0,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.12445781249999976,0.0,199.9999999999972,0.39999999999999436,50
threshold_based,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,12650.0,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.12445781249999976,0.0,199.9999999999972,0.39999999999999436,50
threshold_based,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,12650.0,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.12445781249999976,0.0,199.9999999999972,0.39999999999999436,50
threshold_based,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,12650.0,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.12445781249999976,0.0,199.9999999999972,0.39999999999999436,50
mobility_aware,42,1000,1.0,0,0.0,0,0,12,12,1.0,137.39960356230125,12,61,24.399999999999977,40204.99999999999,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30068041992188066,0.1266273953125004,690.0,199.9999999999972,1.2939980178115005,50
mobility_aware,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,57,22.799999999999983,34329.9,1,767.0,1,1.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.12631803281250073,768.0,199.9999999999972,0.6303999999999943,50
mobility_aware,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,55,21.999999999999986,39506.50000000001,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.1263021171874993,0.0,199.9999999999972,0.39999999999999436,50
mobility_aware,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,60,23.99999999999998,33953.7,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.12655838281250006,0.0,199.9999999999972,0.39999999999999436,50
mobility_aware,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,62,24.799999999999976,39935.50000000001,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.12670262031249932,0.0,199.9999999999972,0.39999999999999436,50
rl_based,42,1000,1.0,0,0.0,0,0,5,0,0.0,98.09782140491716,5,28,11.200000000000005,1790.7143301545925,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.10298000844761825,0.0,199.9999999999972,0.8904891070245802,50
rl_based,43,1000,1.0,0,0.0,0,0,13,4,0.3076923076923077,262.08203384085914,13,28,11.200000000000005,1790.3602099590348,0,0.0,0,0.0,19.418660522005457,2.089626789559892,0.19999999999999718,0.3068064181902922,0.10096662573943284,233.72301913239062,199.9999999999972,1.7805270749440074,50
rl_based,44,1000,1.0,0,0.0,0,0,8,1,0.125,161.0720362164656,8,30,12.000000000000005,1919.3069082795926,0,0.0,0,0.0,13.67938596525245,1.5254122806949522,0.19999999999999718,0.30674226880074124,0.10099327265812522,58.447265625,199.9999999999972,1.2228943607698224,50
rl_based,45,1000,1.0,0,0.0,0,0,8,0,0.0,179.95646503537984,8,28,11.200000000000005,1790.7142198402278,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.1029800080528905,0.0,199.9999999999972,1.2997823251768934,50
rl_based,46,1000,1.0,0,0.0,0,0,4,1,0.25,79.46483065995739,4,28,11.200000000000005,1790.7143301545925,0,0.0,0,0.0,11.20987121729063,1.2878025756541875,0.19999999999999718,0.30478888057581777,0.1015671475523988,58.46573722362518,199.9999999999972,0.8148638744668688,50
agentic_manager,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,51,20.39999999999999,32109.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.12681304999999973,0.0,199.9999999999972,0.39999999999999436,50
agentic_manager,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,32158.499999999996,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.1268578749999998,0.0,199.9999999999972,0.39999999999999436,50
agentic_manager,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,32793.2,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.1268430765625,0.0,199.9999999999972,0.39999999999999436,50
agentic_manager,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,31416.0,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.12686858281250027,0.0,199.9999999999972,0.39999999999999436,50
agentic_manager,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,51,20.39999999999999,31358.8,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.12683257500000025,0.0,199.9999999999972,0.39999999999999436,50
local_execution,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,100
local_execution,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,100
local_execution,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,100
local_execution,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,100
local_execution,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,100
threshold_based,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,100
threshold_based,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,100
threshold_based,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,100
threshold_based,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,100
threshold_based,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,100
mobility_aware,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,63,25.199999999999974,43813.0,0,0.0,0,0.0,15.506267218138925,1.5308746556372212,0.19999999999999718,0.30000000000000565,0.1291346171875005,0.0,199.9999999999972,0.39999999999999436,100
mobility_aware,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,57,22.799999999999983,37464.9,1,817.0,1,1.0,13.709138541343929,1.4758172291731222,0.19999999999999718,0.30000000000000565,0.12880334531250054,818.0,199.9999999999972,0.6453999999999943,100
mobility_aware,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,55,21.999999999999986,42531.5,0,0.0,0,0.0,12.134188459969968,1.3183162308006011,0.19999999999999718,0.30000000000000565,0.1287461796874994,0.0,199.9999999999972,0.39999999999999436,100
mobility_aware,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,60,23.99999999999998,37253.7,0,0.0,0,0.0,11.335171108259562,1.3132965778348096,0.19999999999999718,0.30000000000000565,0.12909525781250006,0.0,199.9999999999972,0.39999999999999436,100
mobility_aware,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,62,24.799999999999976,43345.5,0,0.0,0,0.0,12.50099611442133,1.3879800777115725,0.19999999999999718,0.30000000000000565,0.12926527656249917,0.0,199.9999999999972,0.39999999999999436,100
