strategy,seed,total_steps,service_availability,total_interruption_time,total_recovery_time,total_state_loss,sla_violations,migrations_attempted,migrations_successful,migration_success_rate,total_migration_time,migration_frequency,checkpoints_created,total_checkpoint_cpu,total_checkpoint_storage,replications,total_replication_bw,syncs,total_sync_data,avg_bandwidth,avg_latency,avg_cpu_utilization,avg_memory_utilization,avg_storage_utilization,total_data_transferred,energy_proxy,objective_cost,uav_velocity
local_execution,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,31.672393995645187,2.8875521200870975,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,5
local_execution,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,11.213340910680852,1.1687331817863829,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,5
local_execution,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,14.319730154288555,1.5336053969142291,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,5
local_execution,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,24.015536045840147,2.2286892790831954,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,5
local_execution,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,20.87959548844508,2.130408090231101,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,5
threshold_based,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,31.672393995645187,2.8875521200870975,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,5
threshold_based,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,11.213340910680852,1.1687331817863829,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,5
threshold_based,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,14.319730154288555,1.5336053969142291,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,5
threshold_based,45,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,24.015536045840147,2.2286892790831954,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,5
threshold_based,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,20,8.000000000000002,13750.0,0,0.0,0,0.0,20.87959548844508,2.130408090231101,0.19999999999999718,0.30000000000000565,0.12678070312499984,0.0,199.9999999999972,0.39999999999999436,5
mobility_aware,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,66,26.39999999999997,33849.2,1,104.0,5,97.0,31.672393995645187,2.8875521200870975,0.19999999999999718,0.30000000000000565,0.12819236406249992,201.0,199.9999999999972,0.4602999999999944,5
mobility_aware,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,52,20.79999999999999,29267.7,0,0.0,0,0.0,11.213340910680852,1.1687331817863829,0.19999999999999718,0.30000000000000565,0.12821398593749983,0.0,199.9999999999972,0.39999999999999436,5
mobility_aware,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,63,25.199999999999974,44464.200000000004,0,0.0,0,0.0,14.319730154288555,1.5336053969142291,0.19999999999999718,0.30000000000000565,0.1284203046875004,0.0,199.9999999999972,0.39999999999999436,5
mobility_aware,45,1000,1.0,0,0.0,0,0,16,16,1.0,624.0906782055611,16,59,23.59999999999998,34629.100000000006,0,0.0,0,0.0,24.015536045840147,2.2286892790831954,0.19999999999999718,0.30062988281250563,0.12863017968750012,3576.0,199.9999999999972,4.593253391027799,5
mobility_aware,46,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,70,27.999999999999964,40497.6,0,0.0,0,0.0,20.87959548844508,2.130408090231101,0.19999999999999718,0.30000000000000565,0.12885765781249997,0.0,199.9999999999972,0.39999999999999436,5
rl_based,42,1000,1.0,0,0.0,0,0,17,12,0.7058823529411765,505.9617050053736,17,28,11.200000000000005,3330.714330154593,2,213.625,184,2.0928967653781,24.30497124279961,2.453900575144008,0.19999999999999718,0.3122586241860996,0.1040687251163637,1507.4726355137427,199.9999999999972,3.382050315680985,5
rl_based,43,1000,1.0,0,0.0,0,0,10,7,0.7,259.32776719436066,10,65,25.99999999999997,7745.269453879627,0,0.0,0,0.0,20.355421982587124,1.9658915603482587,0.19999999999999718,0.31125437881677354,0.10217905725519812,759.2600520849228,199.9999999999972,1.9244168515972746,5
rl_based,44,1000,1.0,0,0.0,0,0,2,0,0.0,88.81652548019764,2,28,11.200000000000005,3330.714083855345,0,0.0,0,0.0,14.319730154288555,1.5336053969142291,0.19999999999999718,0.30000000000000565,0.10553149196436062,0.0,199.9999999999972,0.8440826274009825,5
rl_based,45,1000,1.0,0,0.0,0,0,10,8,0.8,248.4150183396207,10,29,11.600000000000005,3449.998907322397,2,216.8837890625,79,0.03169692448296098,14.55826542527708,1.4658346914944584,0.19999999999999718,0.3125899393893837,0.10338738124591056,1084.4819837897157,199.9999999999972,1.9674196868350127,5
rl_based,46,1000,1.0,0,0.0,0,0,73,34,0.4657534246575342,2304.5758008883868,73,46,18.4,5478.335928424938,1,108.46573728653311,0,0.0,20.88589910085855,2.1302820179828315,0.19999999999999718,0.3004236942891242,0.10521660313204773,3796.3008043173177,199.9999999999972,13.061769245737125,5
agentic_manager,42,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,39,15.600000000000009,26352.7,0,0.0,0,0.0,31.672393995645187,2.8875521200870975,0.19999999999999718,0.30000000000000565,0.12819164218749932,0.0,199.9999999999972,0.39999999999999436,5
agentic_manager,43,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,49,19.599999999999994,32490.7,0,0.0,0,0.0,11.213340910680852,1.1687331817863829,0.19999999999999718,0.30000000000000565,0.12926223437500023,0.0,199.9999999999972,0.39999999999999436,5
agentic_manager,44,1000,1.0,0,0.0,0,0,0,0,0.0,0.0,0,50,19.999999999999993,32915.3,0,0.0,0,0.0,14.319730154288555,1.5336053969142291,0.19999999999999718,0.30000000000000565,0.12929784687499937,0.0,199.9999999999972,0.39999999999999436,5
